,precision,recall,f1-score,support
A1,0.7142857142857143,0.1724137931034483,0.2777777777777778,29.0
A2,0.8,0.46153846153846156,0.5853658536585367,26.0
A3,0.8076923076923077,0.6774193548387096,0.7368421052631579,31.0
B1,0.8666666666666667,0.7428571428571429,0.8,35.0
B2,1.0,0.6538461538461539,0.7906976744186047,26.0
B3,0.7741935483870968,0.6666666666666666,0.7164179104477612,36.0
B4,0.6842105263157895,0.9629629629629629,0.7999999999999999,27.0
micro avg,0.7987804878048781,0.6238095238095238,0.7005347593582888,210.0
macro avg,0.8067212519067963,0.6196720765447923,0.6724430459379768,210.0
weighted avg,0.8058606311359161,0.6238095238095238,0.676506463451612,210.0
samples avg,0.6238095238095238,0.6238095238095238,0.6238095238095238,210.0
